Company;Location;State;Opening year;Estimate;Latitude;Longitude
Sodalicious;American Fork;UT;2015;0;40.376569;-111.80502
Sodalicious;Ephraim;UT;2017;0;39.368309;-111.585766
Sodalicious;Midvale;UT;2017;0;40.619886;-111.911351
Sodalicious;Orem;UT;2015;0;40.29748;-111.699697
Sodalicious;Utah Valley University;UT;2015;0;40.279456;-111.715167
Sodalicious;Pleasant Grove;UT;2015;0;40.364193;-111.753353
Sodalicious;Price;UT;2017;0;39.601331;-110.809804
Sodalicious;Salt Lake City;UT;2016;1;40.376569;-111.80502
Sodalicious;North Provo;UT;2017;0;40.241078;-111.648118
Sodalicious;Provo;UT;2015;0;40.237931;-111.65926
Sodalicious;Riverton;UT;2017;0;40.522764;-111.961245
Sodalicious;Springville;UT;2016;0;40.186436;-111.610992
Sodalicious;South Jordan;UT;2017;0;40.561985;-111.932139
Sodalicious;Val Vista;AZ;2016;0;33.307813;-111.754894
Sodalicious;Mesa;AZ;2015;0;33.418812;-111.840262
Sodalicious;Gilbert;AZ;2015;0;33.373239;-111.789556
Sodalicious;Safford;AZ;2017;0;32.836252;-109.731563
Sodalicious;Eagle;ID;2017;0;43.696222;-116.395878
FiiZ;Bountiful;UT;2014;0;40.893416;-111.881756
FiiZ;South Jordan;UT;2015;0;40.562626;-111.939484
FiiZ;Brigham City;UT;2015;0;41.486055;-112.031181
FiiZ;Taylorsville;UT;2016;0;40.667896;-111.954723
FiiZ;Sandy;UT;2016;0;40.607847;-111.855011
FiiZ;Spanish Fork;UT;2017;0;40.109048;-111.631433
FiiZ;Orem;UT;2017;0;40.297628;-111.722643
FiiZ;West Valley;UT;2017;0;40.667896;-111.954723
FiiZ;Kaysville;UT;2014;0;41.040062;-111.941394
FiiZ;Farmington;UT;2015;0;40.983144;-111.906686
FiiZ;Layton;UT;2015;0;41.098514;-111.973888
FiiZ;Ogden Junction;UT;2016;0;41.223588;-111.971561
FiiZ;St George;UT;2016;0;37.068506;-113.550086
FiiZ;Layton Seaquest;UT;2017;0;41.078781;-111.977344
FiiZ;Heber;UT;2017;0;40.706787;-112.0254
FiiZ;Syracuse;UT;2014;0;41.090047;-112.064975
FiiZ;North Ogden;UT;2015;0;41.305343;-111.967513
FiiZ;Roy;UT;2015;0;41.175;-112.025408
FiiZ;South Ogden;UT;2016;0;41.153695;-111.936556
FiiZ;North Salt Lake;UT;2017;0;40.893416;-111.881756
FiiZ;Hurricane;UT;2017;0;37.176791;-113.298418
FiiZ;FiiZ truck;UT;2015;0;40.760779;-111.891047
FiiZ;FiiZ truck;AZ;2015;0;33.448377;-112.074037
FiiZ;Mesa;AZ;2015;0;33.415775;-111.740558
FiiZ;Mesa;AZ;2017;0;33.393915;-111.790119
FiiZ;Las Vegas;NV;2017;0;36.118113;-115.175473
FiiZ;Elko;NV;2015;0;40.836677;-115.758194
Swig 'n Sweets;Murray;UT;2016;0;40.650046;-111.865627
Swig 'n Sweets;Bountiful;UT;2014;0;40.887345;-111.89167
Swig 'n Sweets;South Jordan;UT;2017;0;40.537724;-112.020483
Swig 'n Sweets;Draper;UT;2014;0;40.527067;-111.878531
Swig 'n Sweets;Draper;UT;2017;0;40.527418;-111.897374
Swig 'n Sweets;Provo;UT;2013;0;40.254303;-111.656429
Swig 'n Sweets;Lehi;UT;2014;0;40.38884;-111.827896
Swig 'n Sweets;Orem;UT;2014;0;40.326786;-111.710104
Swig 'n Sweets;Logan;UT;2016;0;41.715779;-111.833923
Swig 'n Sweets;Clinton;UT;2015;0;40.326786;-111.710104
Swig 'n Sweets;St George ;UT;2010;0;37.10857;-113.562494
Swig 'n Sweets;St George;UT;2013;0;37.109634;-113.589148
Swig 'n Sweets;Gilbert;AZ;2017;0;33.297766;-111.746988
Swig 'n Sweets;Clearfield;UT;2015;0;41.089521;-112.043562
Swig 'n Sweets;South Jordan;UT;2016;0;40.545254;-111.986401
Swig 'n Sweets;Traverse;UT;2016;0;40.43324;-111.880471
